Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2016-01-01,86,79,65,35,64.0,70,66,58,17,46.0,42.0,28.0,0.0
2016-01-02,86,79,65,35,59.0,70,66,58,17,50.0,37.0,28.0,0.0
2016-01-03,86,79,65,35,58.0,70,66,58,17,29.0,37.0,26.0,0.0
2016-01-04,86,79,65,35,53.0,70,66,58,17,36.0,39.0,23.0,0.0
2016-01-05,86,79,65,35,58.0,70,66,58,16,42.0,27.0,4.0,0.0
2016-01-06,86,79,65,35,58.0,70,66,58,16,33.0,24.0,4.0,0.0
2016-01-07,86,79,65,35,56.0,70,66,58,16,34.0,41.0,7.0,0.0
2016-01-08,86,79,65,34,55.0,70,66,58,16,34.0,43.0,11.0,0.0
2016-01-09,86,79,65,34,60.0,70,66,58,16,32.0,36.0,22.0,0.0
2016-01-10,86,79,65,34,58.0,70,66,58,15,34.0,40.0,34.0,0.0
2016-01-11,86,79,65,34,57.0,70,66,58,15,35.0,57.0,28.0,0.0
2016-01-12,86,79,65,34,65.0,70,66,58,15,48.0,30.0,12.0,0.0
2016-01-13,86,79,65,34,69.0,70,66,58,15,39.0,34.0,13.0,0.0
2016-01-14,86,79,65,34,59.0,70,66,58,15,34.0,24.0,15.0,0.0
2016-01-15,86,79,65,34,58.0,70,66,58,15,30.0,27.0,13.0,0.0
2016-01-16,86,79,65,34,59.0,70,66,58,14,30.0,39.0,19.0,0.0
2016-01-17,86,79,65,34,49.0,70,66,58,14,29.0,41.0,29.0,0.0
2016-01-18,86,79,65,34,57.0,70,66,58,14,34.0,33.0,22.0,0.0
2016-01-19,86,79,65,34,62.0,70,66,58,14,36.0,25.0,13.0,0.0
2016-01-20,86,79,65,34,58.0,70,66,58,14,34.0,21.0,13.0,0.0
2016-01-21,86,79,65,34,51.0,70,66,58,14,31.0,30.0,10.0,0.0
2016-01-22,86,79,65,34,55.0,70,66,58,14,33.0,30.0,10.0,0.0
2016-01-23,86,79,65,34,55.0,70,66,58,13,32.0,28.0,14.0,0.0
2016-01-24,86,79,65,34,62.0,70,66,58,13,36.0,25.0,16.0,0.0
2016-01-25,86,79,65,34,59.0,70,66,58,13,35.0,35.0,15.0,0.0
2016-01-26,86,79,65,34,60.0,70,66,58,13,36.0,39.0,15.0,0.0
