Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2015-01-01,94,89,80,74,88.0,74,71,65,48,70.0,71.0,59.0,0.0
2015-01-02,94,89,80,74,85.0,74,71,65,48,68.0,78.0,61.0,0.0
2015-01-03,94,89,80,74,87.0,74,71,65,48,69.0,81.0,65.0,1.0
2015-01-04,94,89,80,74,87.0,74,71,65,47,70.0,86.0,66.0,1.0
2015-01-05,94,89,80,74,87.0,74,71,65,47,68.0,85.0,61.0,0.0
2015-01-06,94,89,80,74,86.0,74,71,65,47,68.0,77.0,54.0,0.0
2015-01-07,94,89,80,74,86.0,74,71,65,47,67.0,80.0,49.0,0.0
2015-01-08,94,89,80,73,86.0,74,71,65,47,65.0,70.0,40.0,0.0
2015-01-09,94,89,80,73,85.0,74,71,65,47,68.0,64.0,40.0,0.0
2015-01-10,94,89,80,73,87.0,74,71,65,47,67.0,64.0,44.0,0.0
2015-01-11,94,89,80,73,87.0,74,71,65,47,70.0,67.0,45.0,0.0
2015-01-12,94,89,80,73,85.0,74,71,65,47,68.0,82.0,53.0,0.0
2015-01-13,94,89,80,73,85.0,74,71,65,47,68.0,76.0,60.0,0.0
2015-01-14,94,89,80,73,85.0,74,71,65,47,69.0,79.0,61.0,0.0
2015-01-15,94,89,80,73,87.0,74,71,65,47,65.0,66.0,54.0,0.0
2015-01-16,94,89,80,73,88.0,74,71,65,47,68.0,65.0,54.0,0.0
2015-01-17,94,89,80,73,86.0,74,71,65,47,65.0,69.0,44.0,0.0
2015-01-18,94,89,80,73,87.0,74,71,65,47,66.0,76.0,45.0,0.0
2015-01-19,94,89,80,73,87.0,74,71,65,47,67.0,72.0,40.0,0.0
2015-01-20,94,89,80,73,88.0,74,71,65,47,66.0,72.0,40.0,0.0
2015-01-21,94,89,80,73,86.0,74,71,65,47,69.0,71.0,49.0,0.0
2015-01-22,94,89,80,73,87.0,74,71,65,47,69.0,80.0,53.0,0.0
2015-01-23,94,89,80,73,88.0,74,71,65,47,66.0,80.0,59.0,0.0
2015-01-24,94,89,80,74,88.0,74,71,65,47,66.0,79.0,62.0,0.0
2015-01-25,94,89,80,74,87.0,74,71,65,47,65.0,67.0,41.0,0.0
2015-01-26,94,89,80,74,86.0,74,71,65,47,66.0,66.0,43.0,0.0
2015-01-27,94,89,80,74,87.0,74,71,65,47,71.0,69.0,40.0,0.0
2015-01-28,94,89,80,74,87.0,74,71,65,48,65.0,67.0,40.0,0.0
2015-01-29,94,89,80,74,87.0,74,71,65,48,65.0,64.0,40.0,0.0
2015-01-30,94,89,80,74,87.0,74,71,65,48,68.0,72.0,42.0,0.0
2015-01-31,94,89,80,74,88.0,74,71,65,48,65.0,73.0,42.0,0.0
2015-02-01,94,89,80,74,87.0,74,71,65,48,66.0,74.0,44.0,0.0
2015-02-02,94,89,80,74,87.0,74,71,65,48,68.0,77.0,52.0,0.0
2015-02-03,94,89,80,74,87.0,74,71,65,49,65.0,73.0,41.0,0.0
2015-02-04,94,89,80,75,87.0,74,71,65,49,67.0,71.0,42.0,0.0
2015-02-05,94,89,80,75,88.0,74,71,65,49,67.0,76.0,54.0,0.0
2015-02-06,94,89,80,75,87.0,74,71,65,49,69.0,69.0,46.0,0.0
2015-02-07,94,89,80,75,86.0,74,71,65,49,70.0,69.0,45.0,0.0
2015-02-08,94,89,80,75,88.0,74,71,65,49,69.0,73.0,45.0,0.0
