Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2019-01-01,86,79,65,35,64.0,70,66,58,17,46.0,52.0,24.0,0.0
2019-01-02,86,79,65,35,59.0,70,66,58,17,50.0,54.0,22.0,0.0
2019-01-03,86,79,65,35,58.0,70,66,58,17,29.0,34.0,23.0,0.0
2019-01-04,86,79,65,35,53.0,70,66,58,17,36.0,43.0,28.0,0.0
2019-01-05,86,79,65,35,58.0,70,66,58,16,42.0,44.0,30.0,0.0
2019-01-06,86,79,65,35,58.0,70,66,58,16,33.0,39.0,29.0,0.0
2019-01-07,86,79,65,35,56.0,70,66,58,16,34.0,41.0,15.0,0.0
2019-01-08,86,79,65,34,55.0,70,66,58,16,34.0,26.0,15.0,0.0
2019-01-09,86,79,65,34,60.0,70,66,58,16,32.0,39.0,24.0,0.0
2019-01-10,86,79,65,34,58.0,70,66,58,15,34.0,41.0,30.0,0.0
2019-01-11,86,79,65,34,57.0,70,66,58,15,35.0,31.0,17.0,0.0
2019-01-12,86,79,65,34,65.0,70,66,58,15,48.0,25.0,11.0,0.0
2019-01-13,86,79,65,34,69.0,70,66,58,15,39.0,27.0,10.0,0.0
2019-01-14,86,79,65,34,59.0,70,66,58,15,34.0,28.0,13.0,0.0
2019-01-15,86,79,65,34,58.0,70,66,58,15,30.0,32.0,13.0,0.0
2019-01-16,86,79,65,34,59.0,70,66,58,14,30.0,32.0,12.0,0.0
2019-01-17,86,79,65,34,49.0,70,66,58,14,29.0,35.0,14.0,0.0
2019-01-18,86,79,65,34,57.0,70,66,58,14,34.0,31.0,15.0,0.0
2019-01-19,86,79,65,34,62.0,70,66,58,14,36.0,37.0,19.0,0.0
2019-01-20,86,79,65,34,58.0,70,66,58,14,34.0,32.0,20.0,0.0
2019-01-21,86,79,65,34,51.0,70,66,58,14,31.0,23.0,-4.0,0.0
2019-01-22,86,79,65,34,55.0,70,66,58,14,33.0,3.0,-3.0,0.0
2019-01-23,86,79,65,34,55.0,70,66,58,13,32.0,24.0,3.0,0.0
2019-01-24,86,79,65,34,62.0,70,66,58,13,36.0,52.0,19.0,0.0
2019-01-25,86,79,65,34,59.0,70,66,58,13,35.0,56.0,30.0,0.0
2019-01-26,86,79,65,34,60.0,70,66,58,13,36.0,37.0,14.0,0.0
2019-01-27,86,79,65,34,60.0,70,66,58,13,41.0,32.0,14.0,0.0
2019-01-28,86,79,65,34,62.0,70,66,58,13,35.0,43.0,17.0,0.0
2019-01-29,86,79,65,34,56.0,70,66,58,13,31.0,29.0,14.0,0.0
2019-01-30,86,79,65,34,64.0,70,66,58,13,35.0,30.0,19.0,0.0
2019-01-31,86,79,65,34,58.0,70,66,58,13,32.0,27.0,-5.0,0.0
2019-02-01,86,79,65,34,59.0,70,66,58,13,33.0,12.0,-8.0,0.0
2019-02-02,86,79,65,34,64.0,70,66,58,13,41.0,18.0,-7.0,0.0
2019-02-03,86,79,65,34,56.0,70,66,58,13,35.0,32.0,-4.0,0.0
2019-02-04,86,79,65,34,56.0,70,66,58,13,32.0,43.0,26.0,0.0
2019-02-05,86,79,65,35,63.0,70,66,58,13,31.0,58.0,26.0,0.0
2019-02-06,86,79,65,35,64.0,70,66,58,13,33.0,60.0,26.0,0.0
2019-02-07,86,79,65,35,53.0,70,66,58,13,34.0,43.0,26.0,0.0
2019-02-08,86,79,65,35,54.0,70,66,58,13,35.0,36.0,32.0,0.0
2019-02-09,86,79,65,35,53.0,70,66,58,13,30.0,52.0,20.0,0.0
2019-02-10,86,79,65,35,57.0,70,66,58,14,36.0,31.0,13.0,0.0
2019-02-11,86,79,65,36,56.0,70,66,58,14,34.0,31.0,13.0,0.0
2019-02-12,86,79,65,36,62.0,70,66,58,14,37.0,36.0,15.0,0.0
2019-02-13,86,79,65,36,56.0,70,66,58,14,33.0,33.0,15.0,0.0
2019-02-14,86,79,65,36,57.0,70,66,58,14,33.0,38.0,27.0,0.0
2019-02-15,86,79,65,36,53.0,70,66,58,15,33.0,37.0,25.0,0.0
2019-02-16,86,79,65,37,56.0,70,66,58,15,36.0,50.0,27.0,0.0
2019-02-17,86,79,65,37,59.0,70,66,58,15,32.0,38.0,19.0,0.0
2019-02-18,86,79,65,37,60.0,70,66,58,15,31.0,38.0,19.0,0.0
2019-02-19,86,79,65,37,65.0,70,66,58,15,36.0,32.0,9.0,0.0
2019-02-20,86,79,65,38,64.0,70,66,58,16,35.0,29.0,6.0,0.0
2019-02-21,86,79,65,38,68.0,70,66,58,16,48.0,28.0,7.0,0.0
2019-02-22,86,79,65,38,73.0,70,66,58,16,40.0,45.0,27.0,0.0
2019-02-23,86,79,65,38,59.0,70,66,58,17,37.0,42.0,20.0,0.0
2019-02-24,86,79,65,39,65.0,70,66,58,17,35.0,40.0,20.0,0.0
2019-02-25,86,79,65,39,72.0,70,66,58,17,36.0,42.0,31.0,0.0
2019-02-26,86,79,65,39,69.0,70,66,58,18,35.0,33.0,19.0,0.0
2019-02-27,86,79,65,40,60.0,70,66,58,18,39.0,27.0,9.0,0.0
2019-02-28,86,79,65,40,61.0,70,66,58,18,37.0,24.0,9.0,0.0
2019-03-01,86,79,65,40,61.0,70,66,58,19,33.0,29.0,9.0,0.0
2019-03-02,86,79,65,41,65.0,70,66,58,19,44.0,39.0,17.0,0.0
2019-03-03,86,79,65,41,62.0,70,66,58,19,36.0,35.0,21.0,0.0
2019-03-04,86,79,65,41,66.0,70,66,58,20,36.0,45.0,21.0,0.0
2019-03-05,86,79,65,41,66.0,70,66,58,20,36.0,44.0,8.0,0.0
2019-03-06,86,79,65,42,65.0,70,66,58,21,48.0,29.0,5.0,0.0
2019-03-07,86,79,65,42,57.0,70,66,58,21,47.0,23.0,-2.0,0.0
2019-03-08,86,79,65,42,66.0,70,66,58,21,39.0,36.0,0.0,0.0
2019-03-09,86,79,65,43,66.0,70,66,58,22,36.0,47.0,6.0,0.0
2019-03-10,86,79,65,43,76.0,70,66,58,22,43.0,37.0,29.0,0.0
2019-03-11,86,79,65,43,68.0,70,66,58,22,50.0,37.0,29.0,0.0
2019-03-12,86,79,65,44,70.0,70,66,58,23,37.0,48.0,30.0,0.0
2019-03-13,86,79,65,44,69.0,70,66,58,23,40.0,40.0,18.0,0.0
2019-03-14,86,79,65,44,71.0,70,66,58,23,45.0,46.0,18.0,0.0
2019-03-15,86,79,65,45,68.0,70,66,58,24,40.0,53.0,33.0,0.0
