Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2005-01-01,86,79,65,35,64.0,70,66,58,17,46.0,,,
2005-01-02,86,79,65,35,59.0,70,66,58,17,50.0,,,
2005-01-03,86,79,65,35,58.0,70,66,58,17,29.0,47.0,18.0,0.0
2005-01-04,86,79,65,35,53.0,70,66,58,17,36.0,52.0,18.0,0.0
2005-01-05,86,79,65,35,58.0,70,66,58,16,42.0,47.0,15.0,
2005-01-06,86,79,65,35,58.0,70,66,58,16,33.0,47.0,,
2005-01-07,86,79,65,35,56.0,70,66,58,16,34.0,33.0,21.0,
2005-01-08,86,79,65,34,55.0,70,66,58,16,34.0,,,
2005-01-09,86,79,65,34,60.0,70,66,58,16,32.0,,,
2005-01-10,86,79,65,34,58.0,70,66,58,15,34.0,33.0,18.0,0.0
2005-01-11,86,79,65,34,57.0,70,66,58,15,35.0,36.0,26.0,0.0
2005-01-12,86,79,65,34,65.0,70,66,58,15,48.0,33.0,26.0,0.0
2005-01-13,86,79,65,34,69.0,70,66,58,15,39.0,32.0,29.0,0.0
2005-01-14,86,79,65,34,59.0,70,66,58,15,34.0,59.0,31.0,0.0
2005-01-15,86,79,65,34,58.0,70,66,58,15,30.0,,20.0,
2005-01-16,86,79,65,34,59.0,70,66,58,14,30.0,59.0,16.0,
2005-01-17,86,79,65,34,49.0,70,66,58,14,29.0,,,
2005-01-18,86,79,65,34,57.0,70,66,58,14,34.0,25.0,2.0,0.0
2005-01-19,86,79,65,34,62.0,70,66,58,14,36.0,9.0,-2.0,0.0
2005-01-20,86,79,65,34,58.0,70,66,58,14,34.0,19.0,0.0,0.0
2005-01-21,86,79,65,34,51.0,70,66,58,14,31.0,24.0,-4.0,
2005-01-22,86,79,65,34,55.0,70,66,58,14,33.0,,,
2005-01-23,86,79,65,34,55.0,70,66,58,13,32.0,,,
2005-01-24,86,79,65,34,62.0,70,66,58,13,36.0,17.0,-10.0,0.0
2005-01-25,86,79,65,34,59.0,70,66,58,13,35.0,20.0,-2.0,0.0
2005-01-26,86,79,65,34,60.0,70,66,58,13,36.0,24.0,-1.0,0.0
2005-01-27,86,79,65,34,60.0,70,66,58,13,41.0,18.0,3.0,0.0
2005-01-28,86,79,65,34,62.0,70,66,58,13,35.0,13.0,-7.0,0.0
2005-01-29,86,79,65,34,56.0,70,66,58,13,31.0,20.0,-11.0,
2005-01-30,86,79,65,34,64.0,70,66,58,13,35.0,,,
2005-01-31,86,79,65,34,58.0,70,66,58,13,32.0,40.0,-7.0,0.0
2005-02-01,86,79,65,34,59.0,70,66,58,13,33.0,31.0,-5.0,0.0
2005-02-02,86,79,65,34,64.0,70,66,58,13,41.0,41.0,-5.0,0.0
2005-02-03,86,79,65,34,56.0,70,66,58,13,35.0,38.0,-2.0,0.0
2005-02-04,86,79,65,34,56.0,70,66,58,13,32.0,37.0,7.0,
2005-02-05,86,79,65,35,63.0,70,66,58,13,31.0,,,
2005-02-06,86,79,65,35,64.0,70,66,58,13,33.0,,,
2005-02-07,86,79,65,35,53.0,70,66,58,13,34.0,53.0,18.0,0.0
2005-02-08,86,79,65,35,54.0,70,66,58,13,35.0,54.0,18.0,
2005-02-09,86,79,65,35,53.0,70,66,58,13,30.0,49.0,,
2005-02-10,86,79,65,35,57.0,70,66,58,14,36.0,49.0,28.0,0.0
2005-02-11,86,79,65,36,56.0,70,66,58,14,34.0,36.0,22.0,
2005-02-12,86,79,65,36,62.0,70,66,58,14,37.0,,,
2005-02-13,86,79,65,36,56.0,70,66,58,14,33.0,36.0,21.0,0.0
2005-02-14,86,79,65,36,57.0,70,66,58,14,33.0,36.0,11.0,0.0
2005-02-15,86,79,65,36,53.0,70,66,58,15,33.0,49.0,12.0,0.0
