Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2009-01-01,89,82,69,43,65.0,73,69,61,27,48.0,30.0,19.0,0.0
2009-01-02,89,82,69,42,64.0,73,69,61,27,40.0,38.0,25.0,0.0
2009-01-03,89,82,69,42,64.0,73,69,61,27,50.0,40.0,26.0,0.0
2009-01-04,89,82,69,42,69.0,73,69,61,27,56.0,43.0,22.0,0.0
2009-01-05,89,82,69,42,66.0,73,69,61,27,52.0,48.0,36.0,0.0
2009-01-06,89,82,69,42,71.0,73,69,61,26,52.0,39.0,32.0,0.0
2009-01-07,89,82,69,42,66.0,73,69,61,26,53.0,41.0,33.0,0.0
2009-01-08,89,82,69,42,66.0,73,69,61,26,54.0,41.0,29.0,0.0
2009-01-09,89,82,69,42,66.0,73,69,61,26,42.0,36.0,25.0,0.0
2009-01-10,89,82,69,41,66.0,73,69,61,26,44.0,36.0,29.0,0.0
2009-01-11,89,82,69,41,69.0,73,69,61,26,50.0,35.0,23.0,0.0
2009-01-12,89,82,69,41,70.0,73,69,61,26,47.0,36.0,22.0,0.0
2009-01-13,89,82,69,41,70.0,73,69,61,26,49.0,40.0,23.0,0.0
2009-01-14,89,82,69,41,69.0,73,69,61,26,51.0,35.0,19.0,0.0
2009-01-15,89,82,69,41,72.0,73,69,61,25,51.0,27.0,15.0,0.0
2009-01-16,89,82,69,41,63.0,73,69,61,25,45.0,19.0,7.0,0.0
2009-01-17,89,82,69,41,59.0,73,69,61,25,40.0,24.0,5.0,0.0
2009-01-18,89,82,69,41,65.0,73,69,61,25,44.0,36.0,24.0,0.0
2009-01-19,89,82,69,41,66.0,73,69,61,25,43.0,31.0,19.0,0.0
2009-01-20,89,82,69,41,66.0,73,69,61,25,40.0,30.0,15.0,0.0
2009-01-21,89,82,69,41,62.0,73,69,61,25,42.0,29.0,16.0,0.0
2009-01-22,89,82,69,41,66.0,73,69,61,25,44.0,42.0,20.0,0.0
2009-01-23,89,82,69,41,65.0,73,69,61,25,46.0,48.0,20.0,0.0
2009-01-24,89,82,69,41,71.0,73,69,61,25,43.0,44.0,20.0,0.0
2009-01-25,89,82,69,41,67.0,73,69,61,25,45.0,30.0,14.0,0.0
2009-01-26,89,82,69,41,75.0,73,69,61,25,42.0,29.0,21.0,0.0
2009-01-27,89,82,69,41,68.0,73,69,61,25,50.0,30.0,26.0,0.0
2009-01-28,89,82,69,41,62.0,73,69,61,25,45.0,42.0,25.0,0.0
2009-01-29,89,82,69,41,70.0,73,69,61,25,41.0,33.0,21.0,0.0
2009-01-30,89,82,69,42,70.0,73,69,61,25,47.0,38.0,18.0,0.0
2009-01-31,89,82,69,42,65.0,73,69,61,25,40.0,28.0,19.0,0.0
2009-02-01,89,82,69,42,71.0,73,69,61,25,46.0,53.0,23.0,0.0
2009-02-02,89,82,69,42,64.0,73,69,61,25,44.0,55.0,28.0,0.0
2009-02-03,89,82,69,42,64.0,73,69,61,25,45.0,37.0,30.0,0.0
2009-02-04,89,82,69,42,68.0,73,69,61,25,44.0,31.0,22.0,0.0
2009-02-05,89,82,69,42,70.0,73,69,61,26,42.0,24.0,13.0,0.0
2009-02-06,89,82,69,42,71.0,73,69,61,26,46.0,34.0,15.0,0.0
2009-02-07,89,82,69,43,67.0,73,69,61,26,45.0,52.0,19.0,0.0
2009-02-08,89,82,69,43,70.0,73,69,61,26,48.0,64.0,35.0,0.0
2009-02-09,89,82,69,43,64.0,73,69,61,26,37.0,48.0,29.0,0.0
2009-02-10,89,82,69,43,63.0,73,69,61,26,43.0,53.0,34.0,0.0
2009-02-11,89,82,69,43,69.0,73,69,61,26,46.0,69.0,41.0,0.0
2009-02-12,89,82,69,43,71.0,73,69,61,26,42.0,61.0,42.0,0.0
2009-02-13,89,82,69,44,68.0,73,69,61,27,39.0,44.0,36.0,0.0
2009-02-14,89,82,69,44,67.0,73,69,61,27,47.0,44.0,28.0,0.0
2009-02-15,89,82,69,44,74.0,73,69,61,27,48.0,43.0,28.0,0.0
2009-02-16,89,82,69,44,74.0,73,69,61,27,48.0,41.0,26.0,0.0
2009-02-17,89,82,69,45,70.0,73,69,61,27,43.0,42.0,22.0,0.0
2009-02-18,89,82,69,45,72.0,73,69,61,27,46.0,46.0,25.0,0.0
2009-02-19,89,82,69,45,71.0,73,69,61,28,50.0,49.0,26.0,0.0
2009-02-20,89,82,69,45,75.0,73,69,61,28,49.0,35.0,23.0,0.0
2009-02-21,89,82,69,45,78.0,73,69,61,28,49.0,41.0,23.0,0.0
2009-02-22,89,82,69,46,69.0,73,69,61,28,46.0,42.0,29.0,0.0
2009-02-23,89,82,69,46,73.0,73,69,61,29,47.0,37.0,25.0,0.0
2009-02-24,89,82,69,46,78.0,73,69,61,29,49.0,37.0,20.0,0.0
