Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2014-01-01,98,92,80,60,74.0,74,70,63,37,55.0,63.0,40.0,0.0
2014-01-02,98,92,80,60,75.0,74,70,63,37,48.0,65.0,40.0,0.0
2014-01-03,98,92,80,61,73.0,74,70,63,37,53.0,66.0,43.0,0.0
2014-01-04,98,92,80,61,75.0,74,70,63,37,48.0,71.0,43.0,0.0
2014-01-05,98,92,80,61,74.0,74,70,63,37,49.0,64.0,40.0,0.0
2014-01-06,98,92,80,61,75.0,74,70,63,37,49.0,59.0,32.0,0.0
2014-01-07,98,92,80,61,77.0,74,70,63,37,50.0,59.0,34.0,0.0
2014-01-08,98,92,80,61,78.0,74,70,63,37,49.0,65.0,33.0,0.0
2014-01-09,98,92,80,61,78.0,74,70,63,37,51.0,67.0,41.0,0.0
2014-01-10,98,92,80,61,76.0,74,70,63,37,50.0,62.0,36.0,0.0
2014-01-11,98,92,80,61,76.0,74,70,63,37,49.0,61.0,25.0,0.0
2014-01-12,98,92,80,61,77.0,74,70,63,37,46.0,72.0,43.0,0.0
2014-01-13,98,92,80,61,76.0,74,70,63,37,48.0,70.0,36.0,0.0
2014-01-14,98,92,80,62,84.0,74,70,63,37,51.0,65.0,36.0,0.0
2014-01-15,98,92,80,62,81.0,74,70,63,38,51.0,65.0,38.0,0.0
2014-01-16,98,92,80,62,82.0,74,70,63,38,50.0,68.0,41.0,0.0
2014-01-17,98,92,80,62,80.0,74,70,63,38,51.0,70.0,40.0,0.0
2014-01-18,98,92,80,62,81.0,74,70,63,38,54.0,68.0,41.0,0.0
2014-01-19,98,92,80,62,83.0,74,70,63,38,52.0,70.0,41.0,0.0
2014-01-20,98,92,80,62,82.0,74,70,63,38,52.0,68.0,44.0,0.0
2014-01-21,98,92,80,62,83.0,74,70,63,38,54.0,71.0,44.0,0.0
2014-01-22,98,92,80,62,82.0,74,70,63,38,53.0,68.0,45.0,0.0
2014-01-23,98,92,80,62,82.0,74,70,63,38,52.0,73.0,46.0,0.0
2014-01-24,98,92,80,62,82.0,74,70,63,38,49.0,69.0,40.0,0.0
2014-01-25,98,92,80,62,86.0,74,70,63,38,52.0,55.0,40.0,0.0
2014-01-26,98,92,80,62,77.0,74,70,63,38,52.0,69.0,40.0,0.0
2014-01-27,98,92,80,63,79.0,74,70,63,38,52.0,66.0,45.0,0.0
2014-01-28,98,92,80,63,82.0,74,70,63,39,48.0,67.0,40.0,0.0
2014-01-29,98,92,80,63,78.0,74,70,63,39,48.0,66.0,42.0,0.0
2014-01-30,98,92,80,63,80.0,74,70,63,39,49.0,70.0,42.0,0.0
2014-01-31,98,92,80,63,82.0,74,70,63,39,53.0,76.0,53.0,0.0
2014-02-01,98,92,80,63,76.0,74,70,63,39,50.0,67.0,42.0,0.0
2014-02-02,98,92,80,63,78.0,74,70,63,39,48.0,60.0,31.0,0.0
2014-02-03,98,92,80,63,84.0,74,70,63,39,51.0,57.0,35.0,0.0
2014-02-04,98,92,80,63,79.0,74,70,63,39,49.0,58.0,29.0,0.0
2014-02-05,98,92,80,63,82.0,74,70,63,39,49.0,53.0,33.0,0.0
2014-02-06,98,92,80,63,81.0,74,70,63,39,53.0,60.0,35.0,0.0
2014-02-07,98,92,80,63,96.0,74,70,63,39,51.0,58.0,37.0,0.0
2014-02-08,98,92,80,63,89.0,74,70,63,39,52.0,62.0,40.0,0.0
2014-02-09,98,92,80,63,79.0,74,70,63,39,51.0,68.0,42.0,0.0
2014-02-10,98,92,80,64,85.0,74,70,63,40,52.0,75.0,48.0,0.0
2014-02-11,98,92,80,64,83.0,74,70,63,40,56.0,73.0,42.0,0.0
2014-02-12,98,92,80,64,86.0,74,70,63,40,50.0,68.0,42.0,0.0
2014-02-13,98,92,80,64,86.0,74,70,63,40,52.0,73.0,45.0,0.0
2014-02-14,98,92,80,64,88.0,74,70,63,40,53.0,77.0,49.0,0.0
2014-02-15,98,92,80,64,82.0,74,70,63,40,52.0,82.0,52.0,1.0
2014-02-16,98,92,80,64,88.0,74,70,63,40,53.0,88.0,53.0,1.0
2014-02-17,98,92,80,64,83.0,74,70,63,40,54.0,79.0,48.0,0.0
2014-02-18,98,92,80,65,85.0,74,70,63,40,54.0,81.0,46.0,1.0
2014-02-19,98,92,80,65,85.0,74,70,63,40,55.0,80.0,49.0,1.0
2014-02-20,98,92,80,65,81.0,74,70,63,41,55.0,80.0,43.0,1.0
2014-02-21,98,92,80,65,80.0,74,70,63,41,54.0,70.0,42.0,0.0
2014-02-22,98,92,80,65,79.0,74,70,63,41,52.0,73.0,45.0,0.0
2014-02-23,98,92,80,66,83.0,74,70,63,41,53.0,76.0,52.0,0.0
2014-02-24,98,92,80,66,85.0,74,70,63,41,54.0,74.0,50.0,0.0
2014-02-25,98,92,80,66,85.0,74,70,63,41,55.0,78.0,53.0,
2014-02-26,98,92,80,66,84.0,74,70,63,41,53.0,,,
2014-02-27,98,92,80,66,82.0,74,70,63,41,52.0,72.0,48.0,0.0
2014-02-28,98,92,80,67,83.0,74,70,63,42,52.0,76.0,47.0,0.0
