Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2011-01-01,94,89,80,74,88.0,74,71,65,48,70.0,79.0,55.0,0.0
2011-01-02,94,89,80,74,85.0,74,71,65,48,68.0,77.0,56.0,0.0
2011-01-03,94,89,80,74,87.0,74,71,65,48,69.0,74.0,61.0,0.0
2011-01-04,94,89,80,74,87.0,74,71,65,47,70.0,74.0,50.0,0.0
2011-01-05,94,89,80,74,87.0,74,71,65,47,68.0,76.0,51.0,0.0
2011-01-06,94,89,80,74,86.0,74,71,65,47,68.0,76.0,57.0,0.0
2011-01-07,94,89,80,74,86.0,74,71,65,47,67.0,65.0,40.0,0.0
2011-01-08,94,89,80,73,86.0,74,71,65,47,65.0,66.0,42.0,0.0
2011-01-09,94,89,80,73,85.0,74,71,65,47,68.0,71.0,39.0,0.0
2011-01-10,94,89,80,73,87.0,74,71,65,47,67.0,69.0,41.0,0.0
2011-01-11,94,89,80,73,87.0,74,71,65,47,70.0,78.0,57.0,0.0
2011-01-12,94,89,80,73,85.0,74,71,65,47,68.0,73.0,39.0,0.0
2011-01-13,94,89,80,73,85.0,74,71,65,47,68.0,55.0,29.0,0.0
2011-01-14,94,89,80,73,85.0,74,71,65,47,69.0,55.0,30.0,0.0
2011-01-15,94,89,80,73,87.0,74,71,65,47,65.0,68.0,39.0,0.0
2011-01-16,94,89,80,73,88.0,74,71,65,47,68.0,72.0,42.0,0.0
2011-01-17,94,89,80,73,86.0,74,71,65,47,65.0,76.0,49.0,0.0
2011-01-18,94,89,80,73,87.0,74,71,65,47,66.0,77.0,54.0,0.0
2011-01-19,94,89,80,73,87.0,74,71,65,47,67.0,78.0,50.0,0.0
2011-01-20,94,89,80,73,88.0,74,71,65,47,66.0,81.0,54.0,
2011-01-21,94,89,80,73,86.0,74,71,65,47,69.0,78.0,,
2011-01-22,94,89,80,73,87.0,74,71,65,47,69.0,65.0,32.0,0.0
2011-01-23,94,89,80,73,88.0,74,71,65,47,66.0,60.0,29.0,0.0
2011-01-24,94,89,80,74,88.0,74,71,65,47,66.0,64.0,33.0,
2011-01-25,94,89,80,74,87.0,74,71,65,47,65.0,79.0,,
2011-01-26,94,89,80,74,86.0,74,71,65,47,66.0,77.0,46.0,0.0
2011-01-27,94,89,80,74,87.0,74,71,65,47,71.0,66.0,40.0,0.0
2011-01-28,94,89,80,74,87.0,74,71,65,48,65.0,63.0,42.0,0.0
2011-01-29,94,89,80,74,87.0,74,71,65,48,65.0,66.0,38.0,0.0
2011-01-30,94,89,80,74,87.0,74,71,65,48,68.0,73.0,40.0,0.0
