Date,MaxT_Red,MaxT_Orange,MaxT_Yellow,MaxT_Normal,MaxT_Records,MinT_Red,MinT_Orange,MinT_Yellow,MinT_Normal,MinT_Records,MaxT_Obs,MinT_Obs,HeatRisk
2023-01-01,98,92,80,60,74.0,74,70,63,37,55.0,68.0,45.0,0.0
2023-01-02,98,92,80,60,75.0,74,70,63,37,48.0,59.0,36.0,0.0
2023-01-03,98,92,80,61,73.0,74,70,63,37,53.0,47.0,35.0,0.0
2023-01-04,98,92,80,61,75.0,74,70,63,37,48.0,55.0,36.0,0.0
2023-01-05,98,92,80,61,74.0,74,70,63,37,49.0,65.0,41.0,0.0
2023-01-06,98,92,80,61,75.0,74,70,63,37,49.0,68.0,43.0,0.0
2023-01-07,98,92,80,61,77.0,74,70,63,37,50.0,64.0,40.0,0.0
2023-01-08,98,92,80,61,78.0,74,70,63,37,49.0,67.0,42.0,0.0
2023-01-09,98,92,80,61,78.0,74,70,63,37,51.0,69.0,43.0,0.0
2023-01-10,98,92,80,61,76.0,74,70,63,37,50.0,71.0,48.0,0.0
2023-01-11,98,92,80,61,76.0,74,70,63,37,49.0,69.0,40.0,0.0
2023-01-12,98,92,80,61,77.0,74,70,63,37,46.0,62.0,37.0,0.0
2023-01-13,98,92,80,61,76.0,74,70,63,37,48.0,65.0,40.0,0.0
2023-01-14,98,92,80,62,84.0,74,70,63,37,51.0,70.0,46.0,0.0
2023-01-15,98,92,80,62,81.0,74,70,63,38,51.0,72.0,49.0,0.0
2023-01-16,98,92,80,62,82.0,74,70,63,38,50.0,52.0,42.0,0.0
2023-01-17,98,92,80,62,80.0,74,70,63,38,51.0,49.0,40.0,0.0
2023-01-18,98,92,80,62,81.0,74,70,63,38,54.0,48.0,32.0,0.0
2023-01-19,98,92,80,62,83.0,74,70,63,38,52.0,48.0,30.0,0.0
2023-01-20,98,92,80,62,82.0,74,70,63,38,52.0,58.0,33.0,0.0
2023-01-21,98,92,80,62,83.0,74,70,63,38,54.0,53.0,26.0,0.0
2023-01-22,98,92,80,62,82.0,74,70,63,38,53.0,49.0,29.0,0.0
2023-01-23,98,92,80,62,82.0,74,70,63,38,52.0,60.0,34.0,0.0
2023-01-24,98,92,80,62,82.0,74,70,63,38,49.0,42.0,21.0,0.0
2023-01-25,98,92,80,62,86.0,74,70,63,38,52.0,46.0,26.0,0.0
2023-01-26,98,92,80,62,77.0,74,70,63,38,52.0,52.0,28.0,0.0
2023-01-27,98,92,80,63,79.0,74,70,63,38,52.0,51.0,29.0,0.0
2023-01-28,98,92,80,63,82.0,74,70,63,39,48.0,59.0,35.0,0.0
2023-01-29,98,92,80,63,78.0,74,70,63,39,48.0,64.0,40.0,0.0
2023-01-30,98,92,80,63,80.0,74,70,63,39,49.0,63.0,42.0,0.0
